id,caption,cgi,date_format,doc_date_format,html,name,sql,type,options
0,-Основной учет газа-,NULL,0,4,NULL,NULL,NULL,0,0
1,Оперативный часовой отчет,type=100,0,4,operativ.html,Отчет за 1 ч {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
6,Оперативный 2-х часовой отчет,type=101,0,4,operativ.html,Отчет за 2 ч {date},"report_list_get({#dateb}, {#datee}, 101);",101,0
7,Журнал суточный 1ч по ФВД,type=100&line=1,1,0,oper_journal1x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
8,Журнал суточный 1ч по ФНД,type=100&line=2,1,0,oper_journal1x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
9,Журнал суточный 1ч по БПГ 3,type=100&line=3,1,0,oper_journal1x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
10,Журнал суточный 1ч по БПГ 4,type=100&line=4,1,0,oper_journal1x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
11,Журнал суточный 1ч по БПГ 6,type=100&line=5,1,0,oper_journal1x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
12,Журнал суточный 1ч по БПГ 7,type=100&line=6,1,0,oper_journal1x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
13,Журнал суточный 1ч по БПГ 8,type=100&line=7,1,0,oper_journal1x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
14,Журнал суточный 1ч по БПГ 9,type=100&line=8,1,0,oper_journal1x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
15,Журнал суточный 2ч по ФВД,type=100&line=1,1,0,oper_journal2x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 101);",101,0
16,Журнал суточный 2ч по ФНД,type=100&line=2,1,0,oper_journal2x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
17,Журнал суточный 2ч по БПГ 3,type=100&line=3,1,0,oper_journal2x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
18,Журнал суточный 2ч по БПГ 4,type=100&line=4,1,0,oper_journal2x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
19,Журнал суточный 2ч по БПГ 6,type=100&line=5,1,0,oper_journal2x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
20,Журнал суточный 2ч по БПГ 7,type=100&line=6,1,0,oper_journal2x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
21,Журнал суточный 2ч по БПГ 8,type=100&line=7,1,0,oper_journal2x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
22,Журнал суточный 2ч по БПГ 9,type=100&line=8,1,0,oper_journal2x.html,Сут. журнал за {date},"report_list_get({#dateb}, {#datee}, 100);",100,0
23,Журнал годовой,type=103,2,1,journal_year.html,Годовой журнал за {date},"year_list_get({#dateb}, {#datee}, 103, 0);",103,0
24,Журнал месячный,type=103,2,1,journalLine.html,Журнал месячный за {date},"month_list_get({#dateb}, {#datee}, 103, 0);",103,0
25,Журнал месячный по ФВД,type=103&line=1,2,1,journal_month.html,Журнал месячный за {date},"month_list_get({#dateb}, {#datee}, 103, 0);",103,0
26,Журнал месячный по ФНД,type=103&line=2,2,1,journal_month.html,Журнал месячный за {date},"month_list_get({#dateb}, {#datee}, 103, 0);",103,0
27,Журнал месячный по БПГ 3,type=103&line=3,2,1,journal_month.html,Журнал месячный за {date},"month_list_get({#dateb}, {#datee}, 103, 0);",103,0
28,Журнал месячный по БПГ 4,type=103&line=4,2,1,journal_month.html,Журнал месячный за {date},"month_list_get({#dateb}, {#datee}, 103, 0);",103,0
29,Журнал месячный по БПГ 6,type=103&line=5,2,1,journal_month.html,Журнал месячный за {date},"month_list_get({#dateb}, {#datee}, 103, 0);",103,0
30,Журнал месячный по БПГ 7,type=103&line=6,2,1,journal_month.html,Журнал месячный за {date},"month_list_get({#dateb}, {#datee}, 103, 0);",103,0
31,Журнал месячный по БПГ 8,type=103&line=7,2,1,journal_month.html,Журнал месячный за {date},"month_list_get({#dateb}, {#datee}, 103, 0);",103,0
32,Журнал месячный по БПГ 9,type=103&line=8,2,1,journal_month.html,Журнал месячный за {date},"month_list_get({#dateb}, {#datee}, 103, 0);",103,0
